City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Belmonte,BR,-15.8631,-38.8828,82.65,62,35,10.6,scattered clouds
80,Bambous Virieux,MU,-20.3428,57.7575,73.22,68,36,12.28,scattered clouds
81,Bathsheba,BB,13.2167,-59.5167,83.35,78,98,17.83,light rain
82,Barrow,US,71.2906,-156.7887,19.42,93,0,10.36,clear sky
83,New Norfolk,AU,-42.7826,147.0587,49.71,95,61,2.44,broken clouds
84,Asyut,EG,27.181,31.1837,84.15,29,0,13.22,clear sky
85,Marsaxlokk,MT,35.8419,14.5431,72.21,78,20,12.66,few clouds
86,Touros,BR,-5.1989,-35.4608,85.82,61,57,15.7,broken clouds
87,Souillac,MU,-20.5167,57.5167,71.67,71,30,12.35,scattered clouds
88,Bulgan,MN,48.8125,103.5347,36.23,60,100,2.82,overcast clouds
89,Sur,OM,22.5667,59.5289,81.77,53,6,3.83,clear sky
90,Severo-Kurilsk,RU,50.6789,156.125,45.0,78,100,6.58,overcast clouds
91,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,60,75,8.05,broken clouds
92,Abu Samrah,SY,35.3029,37.1841,76.37,36,1,3.69,clear sky
93,Kodinsk,RU,58.6881,99.1844,40.12,95,61,4.85,broken clouds
94,Naze,JP,28.3667,129.4833,68.45,59,100,15.35,overcast clouds
95,Kologriv,RU,58.8275,44.3178,41.29,89,6,4.18,clear sky
96,Paamiut,GL,61.994,-49.6678,37.69,90,100,37.09,light rain
97,Locri,IT,38.2414,16.2623,70.32,94,100,9.22,overcast clouds
98,Kaitangata,NZ,-46.2817,169.8464,52.61,66,39,20.51,scattered clouds
99,Catamarca,AR,-28.4696,-65.7852,71.06,21,0,5.99,clear sky
100,Milkovo,RU,54.7167,158.6167,31.17,80,14,5.99,few clouds
101,Lazaro Cardenas,MX,17.9583,-102.2,81.84,68,97,2.55,overcast clouds
102,Port Elizabeth,ZA,-33.918,25.5701,74.1,87,0,19.57,clear sky
103,Aksu,CN,41.1231,80.2644,62.51,28,2,5.03,clear sky
104,Gwadar,PK,25.1216,62.3254,81.61,55,1,12.64,clear sky
